sample_id,storage_day,freshness_state,state_code,positions,valid_frames,collection_started_at,collection_ended_at,collection_date,collection_time_start,collection_time_end,temperature_c,weight_g,firmness_score,distance_mean_mm,distance_std_mm,surface_note,F1_415nm_mean,F1_415nm_spatial_cv_percent,F1_415nm_clear_norm,F2_445nm_mean,F2_445nm_spatial_cv_percent,F2_445nm_clear_norm,F3_480nm_mean,F3_480nm_spatial_cv_percent,F3_480nm_clear_norm,F4_515nm_mean,F4_515nm_spatial_cv_percent,F4_515nm_clear_norm,F5_555nm_mean,F5_555nm_spatial_cv_percent,F5_555nm_clear_norm,F6_590nm_mean,F6_590nm_spatial_cv_percent,F6_590nm_clear_norm,F7_630nm_mean,F7_630nm_spatial_cv_percent,F7_630nm_clear_norm,F8_680nm_mean,F8_680nm_spatial_cv_percent,F8_680nm_clear_norm,Clear_mean,Clear_spatial_cv_percent,NIR_mean,NIR_spatial_cv_percent,NIR_clear_norm,elapsed_hours_from_day0,firmness_change_from_day0,F1_415nm_vs_day0_percent,F2_445nm_vs_day0_percent,F3_480nm_vs_day0_percent,F4_515nm_vs_day0_percent,F5_555nm_vs_day0_percent,F6_590nm_vs_day0_percent,F7_630nm_vs_day0_percent,F8_680nm_vs_day0_percent,Clear_vs_day0_percent,NIR_vs_day0_percent
NECT02,3,fresh,0,4,80,2026-07-21T17:36:34.489000,2026-07-21T17:38:03.988000,2026-07-21,17:36:34,17:38:03,24.0,,4.0,20.0875,2.526786872439814,无异常,32.35,38.87464142303937,0.029274693452784946,76.975,45.733288177288586,0.06965748156192027,115.7125,48.82816934317992,0.1047124564499344,162.7875,50.37314760965296,0.14731233880819872,240.9875,51.82736710825346,0.2180783674946835,415.9875,45.99042209791138,0.37644224243246915,628.625,37.78851351899441,0.5688656621872313,515.075,30.20429715995402,0.4661101307633139,1105.05,37.524692649990754,93.2625,35.62389056525122,0.08439663363648704,76.22586388888888,0.0,53.045535186280325,60.322832595678186,69.38700823421776,74.22073578595317,77.22927008641295,63.00450626959248,49.18421833283892,44.05173920643246,73.31398996235883,81.6654492330168
NECT02,4,warning,1,4,80,2026-07-22T20:36:06.106000,2026-07-22T20:37:37.199000,2026-07-22,20:36:06,20:37:37,24.0,,3.0,18.775,2.859472377639101,表面有软坑,52.3875,23.513312008364824,0.03147625199026648,125.325,30.43094677089526,0.07529966653648572,186.1125,36.01926670338884,0.11182293387809056,263.975,41.28301035799783,0.15860546159161237,383.95,40.523889190327154,0.23069066001742422,649.6625,32.37295523558063,0.3903400727010545,992.275,22.086661646414562,0.5961937092558657,844.725,13.16883177123197,0.5075404812689639,1664.35,24.948273168270504,139.475,21.64673347359286,0.08380148406284736,103.21797972222222,-1.0,147.84151389710235,161.02577453788075,172.44281793229646,182.5150501672241,182.36808236808238,154.56994514106586,135.48501928211212,136.24541164132145,161.03356336260978,171.68249330411493
NECT02,5,warning,1,4,80,2026-07-23T19:35:08.487000,2026-07-23T19:36:37.470000,2026-07-23,19:35:08,19:36:37,23.0,,3.0,18.4,2.1908902300206643,表面有软坑,62.3,40.35686842083678,0.03201397720995362,154.3125,43.51049352763631,0.07929625775619532,233.1625,45.85028283250991,0.11981475058131318,329.35,47.968417831054,0.16924243008183348,480.9,48.51043386743736,0.2471191274521139,793.6375,45.516308807127075,0.4078249251679706,1172.15,39.83177167725619,0.602330391438959,989.7125,33.383958021211406,0.5085815958171144,1946.025,41.78563466559604,164.5625,41.078313021051905,0.08456340488945414,126.20197444444445,-1.0,194.73684210526315,221.4006769070554,241.31747483989022,252.4816053511706,253.66795366795364,210.9864811912226,178.1726490655592,176.79426673658452,205.21094730238394,220.55028000973945
NECT02,6,warning,1,4,80,2026-07-24T20:31:18.668000,2026-07-24T20:33:34.486000,2026-07-24,20:31:18,20:33:34,23.0,,2.0,16.625,1.7601423993026204,表面有软坑,35.85,39.587894912488,0.03478049963618724,87.6625,44.373303027457354,0.08504729565850108,132.525,48.9507798836798,0.1285714285714286,199.125,54.49749654693476,0.1931845743390735,272.3,55.71065144542116,0.2641765704584041,433.9,48.05597071946936,0.4209556148435605,675.2,40.147910118807104,0.6550569973320398,595.05,32.01744424070386,0.577298083919476,1030.75,38.54713375197417,83.75,35.15085918813341,0.08125151588649042,151.13813583333334,-2.0,69.60378474275578,82.58266076542566,93.9981701738335,113.1103678929766,100.25740025740026,70.02351097178683,60.23731830317415,66.418458311484,61.66091593475532,63.136109082055036
NECT03,0,fresh,0,4,80,2026-07-18T13:25:58.175000,2026-07-18T13:27:41.046000,2026-07-18,13:25:58,13:27:41,24.0,,3.0,20.1625,2.9615414648627265,无异常,18.625,17.722651135488,0.03156044142254983,42.5875,26.641072591471048,0.07216538518565588,63.1125,35.721970738094484,0.10694541526339199,92.1875,44.5711219425522,0.15621359428946643,130.875,40.25153764434995,0.22177035013026625,229.3375,22.749449530186332,0.3886170595835716,367.95,14.015360247387154,0.6234987608819977,310.7,21.460520993349014,0.5264874711402003,590.1375,17.02992666433347,48.0,15.423721159378184,0.08133697655207472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECT03,1,fresh,0,4,80,2026-07-19T20:50:42.634000,2026-07-19T20:52:23.174000,2026-07-19,20:50:42,20:52:23,23.0,,3.0,18.2375,2.696663433001248,无异常,28.925,30.318372631189188,0.03277991840435177,68.225,38.62025986631092,0.0773175430643699,102.75,50.27848204968497,0.11644378966455123,154.1625,64.66352570141184,0.17470818223028106,218.2625,58.542208543580145,0.24735097461468722,368.325,39.87212199479231,0.4174127379873073,573.575,25.014139204190606,0.6500169990933817,485.8,15.920977822806442,0.550543970988214,882.4,30.389872990433943,72.225,26.877443429847276,0.08185063463281958,31.412349722222224,0.0,55.302013422818796,60.199589081303195,62.80451574569222,67.2271186440678,66.7717287488061,60.603913446339995,55.88395162386196,56.35661409719987,49.52447522823069,50.468749999999986
NECT03,2,warning,1,4,80,2026-07-20T20:22:22.017000,2026-07-20T20:23:59.410000,2026-07-20,20:22:22,20:23:59,24.0,,2.0,20.875,2.1721773478194057,表皮变皱,35.8875,24.417095643641563,0.03538023586823912,82.9,33.28099513530039,0.08172822162248759,121.3625,39.577051710773254,0.11964706027333112,182.2,49.79256548605271,0.17962463184097993,258.9,45.95441027996847,0.2552404894820511,444.2125,33.04560067394619,0.4379336266282179,709.55,24.008661799729154,0.69952062306678,640.725,22.32170650501667,0.6316684535472661,1014.3375,22.52586685698155,82.7625,19.42991765598233,0.0815926651632223,54.939956111111115,-1.0,92.68456375838929,94.65805694159086,92.29550406020994,97.64067796610169,97.82234957020054,93.6937919005832,92.83870091044977,106.21982619890571,71.88155302789603,72.421875
NECT03,3,warning,1,4,80,2026-07-21T17:39:18.248000,2026-07-21T17:40:57.085000,2026-07-21,17:39:18,17:40:57,24.0,,2.0,19.5625,2.5942670485104924,表皮变皱,41.7125,49.44746965860124,0.03341310290274454,95.3125,53.279877778161655,0.07634848955152146,142.6,63.142358567901425,0.11422735328573859,215.6375,79.33920968960324,0.17273282534469464,304.5625,77.98203946081402,0.24396471448168136,498.375,60.56927553020858,0.3992149873336604,782.9875,45.28086018969435,0.6271990868220003,714.725,38.61284332423413,0.5725185489281173,1248.3875,45.13138396207448,105.8125,41.92418798171364,0.08475933954801694,76.2222425,-1.0,123.95973154362416,123.8039330789551,125.94573182808477,133.91186440677964,132.71251193887298,117.31073199978199,112.79725506182905,130.037013196009,111.54180169875663,120.44270833333333
NECT03,4,warning,1,4,80,2026-07-22T20:38:59.981000,2026-07-22T20:40:35.898000,2026-07-22,20:38:59,20:40:35,24.0,,2.0,19.2375,2.532041503849254,表皮皱纹多且软,54.575,37.72770031102663,0.034865242563385905,134.275,41.39878471506737,0.08578159313236175,208.6125,46.68871808850127,0.13327211020163707,303.8125,53.897525618682266,0.1940906368536634,402.55,52.46210799824965,0.2571690956278698,639.55,45.113039886066645,0.4085765621880615,983.025,37.079455356828525,0.6280055899381114,905.8,30.761995992943834,0.5786703932920743,1565.3125,34.473889258766434,132.8,32.230857596651255,0.08483928927929728,103.21716833333333,-1.0,193.02013422818794,215.29204578808336,230.54070112893643,229.5593220338983,207.58357211079277,178.86847986046763,167.16265796983288,191.53524299967813,165.24538772743637,176.66666666666669
NECT03,5,spoiled,2,4,80,2026-07-23T19:37:38.389000,2026-07-23T19:39:04.783000,2026-07-23,19:37:38,19:39:04,23.0,,1.0,18.9125,2.33949983835667,表皮已经变皱，且摸起来很软,59.9375,31.109352578503284,0.034612191864871696,151.3125,35.72746144371874,0.08737864077669903,236.15,41.20428610200978,0.13636987042985527,337.725,46.63995717431486,0.1950265275923052,432.7625,45.68160302327011,0.24990796549608402,662.4375,39.76674092870725,0.38253870862958816,1029.075,31.63617769720449,0.5942613779911214,990.975,23.107023368369852,0.5722597177608547,1731.6875,32.77434534674298,148.1375,30.543872922842098,0.08554516909084346,126.19450388888889,-2.0,221.81208053691276,255.29791605518048,274.17310358486833,266.34576271186444,230.6685768863419,188.8483130757072,179.67794537301265,218.94914708722243,193.43796996462686,208.61979166666663
NECT03,6,spoiled,2,4,80,2026-07-24T20:34:21.744000,2026-07-24T20:35:57.421000,2026-07-24,20:34:21,20:35:57,23.0,,1.0,19.675,2.3099947942294348,表皮很皱，摸起来很软,28.1875,39.738790935469474,0.034572633192794175,69.2875,47.05659514018095,0.08498275201226523,110.7125,57.59891870032317,0.13579149099271753,175.3625,68.99609537105242,0.21508623993867385,222.9125,67.50000977514098,0.2734074357991568,326.7375,53.44373627019902,0.4007512456880031,511.075,38.22489552966243,0.6268455346876197,484.625,25.477667076410782,0.5944039862016098,815.3125,38.76970676303996,65.2625,33.610018773884335,0.08004599463395938,151.1398802777778,-2.0,51.34228187919463,62.694452597593184,75.42087542087543,90.22372881355933,70.32473734479466,42.4701586090369,38.897948090773205,55.97843579015128,38.15636186481963,35.96354166666667
NECT04,0,fresh,0,4,80,2026-07-23T19:56:32.224000,2026-07-23T19:58:04.311000,2026-07-23,19:56:32,19:58:04,24.0,,5.0,20.4875,2.311193181897747,无异常; diameter_cm=7.6; batch=new_large,38.8875,8.274652489767323,0.03315570712991581,124.4875,7.907902695829707,0.10613876159010976,187.5,8.983084588275483,0.15986358307577533,271.0625,10.768754593626511,0.2311094532665459,363.825,6.792248167122092,0.31019929660023443,511.2375,7.127886655429074,0.435884045614409,686.7875,9.018695118577842,0.585558989662155,523.8,10.061891947136711,0.44659490568048593,1172.875,8.226980272432296,89.7125,8.753956925222036,0.07648939571565598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECT04,1,fresh,0,4,80,2026-07-24T20:36:30.978000,2026-07-24T20:38:19.129000,2026-07-24,20:36:30,20:38:19,23.0,,5.0,19.0125,2.7627437746843193,无异常,320.8375,15.837145494407947,0.34634120012414144,457.5625,20.423001136204405,0.4939346098314645,617.925,21.163819131059437,0.667044488523661,488.8125,20.93189309448077,0.5276687042059669,320.825,15.828545205675109,0.34632770648639166,457.5125,20.41570173848022,0.4938806352804653,617.9875,21.13725793214011,0.6671119567124101,489.15,20.895080895871825,0.5280330324252115,926.3625,10.807081687717,70.225,11.226212049500536,0.07580725687838184,24.666320555555554,0.0,725.0401800064287,267.55698363289486,229.55999999999997,80.33202674659903,-11.818868961726105,-10.508814396440016,-10.017654660284304,-6.615120274914085,-21.01779814558244,-21.722168036784183
NECT05,0,fresh,0,4,80,2026-07-23T19:58:40.308000,2026-07-23T20:00:23.064000,2026-07-23,19:58:40,20:00:23,24.0,,5.0,20.1125,2.391936612766666,无异常; diameter_cm=7.5; batch=new_large,50.725,17.54328962027897,0.03740264528319277,154.9625,28.199939026316883,0.11426333010737823,218.05,34.98551763002122,0.16078160283884052,290.5125,41.358130141945246,0.21421263652702888,413.8,30.340810136705194,0.30512005161528183,661.0,15.819018278224743,0.48739573252223606,947.7125,11.355586439849324,0.6988063966081386,788.0625,11.264712881141532,0.5810866860223973,1356.1875,17.771963302472756,107.4875,13.376669956553044,0.07925710862251717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECT05,1,fresh,0,4,80,2026-07-24T20:39:17.448000,2026-07-24T20:41:12.414000,2026-07-24,20:39:17,20:41:12,23.0,,5.0,18.6125,2.5182561275713464,无异常,286.6125,34.075698503604094,0.29734671646436356,488.1375,15.833816210208695,0.5064192343604108,746.2625,8.786774812611444,0.7742115364664385,645.6,8.531180136349883,0.6697790227201992,286.575,34.12541208702618,0.2973078120136944,488.225,15.82155733040822,0.5065100114119723,746.3125,8.796625958443789,0.7742634090673306,645.875,8.522164886586662,0.6700643220251064,963.9,15.769310413680396,76.775,9.74481375138798,0.07965037866998652,24.676983333333332,0.0,465.0320354854609,215.00362991046217,242.24375143315754,122.22795921001679,-30.74552924117932,-26.138426626323746,-21.251170581795638,-18.042667935601557,-28.925756947324764,-28.573089894173737
NECT06,0,spoiled,2,4,80,2026-07-23T20:01:13.293000,2026-07-23T20:11:17.024000,2026-07-23,20:01:13,20:11:17,24.0,,4.0,19.0375,2.4672218271375193,烂坑中心精准对准; diameter_cm=7.5; batch=new_large | 表面有烂坑; diameter_cm=7.5; batch=new_large,50.1625,21.382705057237693,0.032914216349663315,150.5875,26.07303310499369,0.09880826423234337,232.7375,28.520232808578456,0.15271113735718447,343.3,32.29627314572556,0.2252569244523183,456.8,26.205575443018276,0.29973015755845905,638.0,18.831464565612603,0.41862486979487057,874.825,15.84817217148432,0.5740180277716265,708.55,19.232708640684788,0.464916381650714,1524.0375,18.38309138749055,121.8125,21.441217642187123,0.07992749522239447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECT06,1,spoiled,2,4,80,2026-07-24T20:42:40.396000,2026-07-24T20:44:38.621000,2026-07-24,20:42:40,20:44:38,23.0,,1.0,20.8875,3.12601882126229,溃烂面积照昨天扩大很多并且表面生有可见的霉菌,272.4875,37.950754791510995,0.3429402973334382,384.0375,34.48986077150942,0.4833320223393377,526.35,31.516575336373894,0.6624400220246992,428.0625,27.780683346231953,0.5387398725713837,272.4875,37.937185914357634,0.3429402973334382,384.05,34.49439775614326,0.4833477542672855,526.4375,31.513130507864247,0.6625501455203335,428.375,27.836325603804863,0.5391331707700778,794.5625,25.895139577487893,60.6375,23.26070708830136,0.07631558247463227,24.690861944444446,-3.0,443.2095689010715,155.02614758861128,126.15607712551696,24.69050393242062,-40.348620840630474,-39.804075235109714,-39.82367902151859,-39.542022440194756,-47.86463587674187,-50.220625962031804
