sample_id,storage_day,freshness_state,position,collection_started_at,collection_ended_at,valid_frames,distance_mean_mm,ambient_clear_mean,lit_clear_mean,Clear_mean,F1_415nm_mean,F1_415nm_clear_norm,F2_445nm_mean,F2_445nm_clear_norm,F3_480nm_mean,F3_480nm_clear_norm,F4_515nm_mean,F4_515nm_clear_norm,F5_555nm_mean,F5_555nm_clear_norm,F6_590nm_mean,F6_590nm_clear_norm,F7_630nm_mean,F7_630nm_clear_norm,F8_680nm_mean,F8_680nm_clear_norm,NIR_mean,NIR_clear_norm
NECT01,2,fresh,3,2026-07-20T20:18:12.491000,2026-07-20T20:18:28.563000,20,16.4,56.35,2110.55,2054.2,73.95,0.03599941583098044,189.2,0.0921039820854834,292.5,0.14239119852010515,469.05,0.22833706552429173,659.75,0.3211712588842372,973.6,0.4739557978775193,1353.65,0.6589669944503944,1171.55,0.5703193457306981,165.0,0.08032324019082855
NECT01,2,fresh,4,2026-07-20T20:48:50.545000,2026-07-20T20:49:02.866000,20,17.7,54.0,2083.7,2029.7,70.3,0.03463566044242991,180.95,0.08915110607478938,279.15,0.1375326402916687,431.15,0.21242055476178745,608.0,0.29955165788047494,959.95,0.47295166773414793,1369.55,0.6747548898852047,1097.85,0.5408927427698674,161.35,0.07949450657732669
NECT01,3,fresh,1,2026-07-21T17:34:25.320000,2026-07-21T17:34:35.493000,20,19.95,92.35,1288.15,1195.8,35.85,0.02997992975413949,86.0,0.07191838100016726,139.9,0.1169928081619,226.3,0.18924569325974244,321.6,0.268941294530858,479.2,0.4007359090148854,656.65,0.5491302893460445,522.1,0.4366114734905503,96.7,0.08086636561297876
NECT01,3,fresh,2,2026-07-21T17:34:47.841000,2026-07-21T17:35:00.168000,20,18.2,70.9,2368.2,2297.3,71.9,0.0312976102381056,173.8,0.07565402864231924,279.2,0.12153397466591215,444.15,0.1933356548992295,633.8,0.27588908718930916,951.3,0.4140948069472859,1333.3,0.5803769642623949,1103.05,0.4801506115875157,190.05,0.08272754973229443
NECT01,3,fresh,3,2026-07-21T17:35:20.569000,2026-07-21T17:35:30.752000,20,19.8,67.0,1731.2,1664.2,50.85,0.030555221728157674,113.0,0.06790049272923927,170.0,0.10215118375195288,248.3,0.14920081720947,386.0,0.23194327604855186,635.85,0.38207547169811323,951.2,0.5715659175579858,856.7,0.5147818771782238,145.8,0.08760966230020431
NECT01,3,fresh,4,2026-07-21T17:35:45.233000,2026-07-21T17:35:55.418000,20,19.5,63.75,2213.4,2149.65,70.05,0.03258670016049124,172.4,0.08019910217942455,269.75,0.12548554415835136,404.05,0.18796083083292628,574.25,0.26713651059474797,925.3,0.4304421650036052,1316.45,0.6124020189333147,1101.4,0.5123624776126346,177.05,0.08236224501663061
NECT01,4,fresh,1,2026-07-22T20:33:23.634000,2026-07-22T20:33:34.353000,20,21.75,68.0,1773.4,1705.4,56.9,0.03336460654391931,139.0,0.08150580508971501,224.65,0.13172862671514013,368.9,0.2163128884719127,520.8,0.30538290137211205,766.35,0.44936671748563384,1048.05,0.6145479066494663,868.25,0.5091180954614752,136.95,0.08030374105781633
NECT01,4,fresh,2,2026-07-22T20:33:50.001000,2026-07-22T20:34:01.792000,20,17.6,53.1,2843.75,2790.65,97.95,0.03509934961388924,236.8,0.08485478293587516,381.0,0.13652733234192752,620.6,0.2223854657517066,854.15,0.3060756454589432,1282.7,0.4596420188844893,1797.3,0.6440435024098328,1548.8,0.554996147850859,232.05,0.08315267052478813
NECT01,4,fresh,3,2026-07-22T20:34:17.349000,2026-07-22T20:34:29.138000,20,18.0,52.0,1837.2,1785.2,62.0,0.034730002240645305,149.05,0.08349204570916424,229.85,0.12875308088729553,347.95,0.19490813354246023,496.95,0.27837217118530133,777.2,0.4353573829262828,1138.15,0.6375476137127493,1043.25,0.5843883038315034,151.0,0.08458436029576517
NECT01,4,fresh,4,2026-07-22T20:34:44.697000,2026-07-22T20:34:54.881000,20,19.0,46.0,3000.0,2954.0,127.75,0.043246445497630334,311.0,0.1052809749492214,483.05,0.16352403520649966,743.75,0.2517772511848341,1017.05,0.3442958700067705,1621.5,0.5489167230873392,2338.65,0.7916892349356804,2070.25,0.7008293838862559,279.0,0.0944482058226134
NECT01,5,fresh,1,2026-07-23T19:32:14.215000,2026-07-23T19:32:24.398000,20,19.7,88.65,1760.35,1671.7,49.9,0.029849853442603335,122.0,0.07297960160315846,207.05,0.12385595501585213,332.0,0.19860022731351318,451.3,0.26996470658610994,650.65,0.38921457199258236,894.4,0.5350242268349584,736.9,0.44080875755219234,137.0,0.08195250343961237
NECT01,5,fresh,2,2026-07-23T19:32:43.701000,2026-07-23T19:32:54.422000,20,19.45,55.0,1947.65,1892.65,68.0,0.03592846009563311,172.0,0.09087786965366021,281.0,0.14846907774813092,444.95,0.23509365175811692,595.1,0.31442686180751855,866.05,0.45758592449739777,1218.15,0.6436213774337569,1058.7,0.5593744221065702,155.4,0.08210709851266743
NECT01,5,fresh,3,2026-07-23T19:33:12.806000,2026-07-23T19:33:23.525000,20,19.75,51.0,2015.35,1964.35,73.9,0.037620586962608504,189.05,0.09624048667498156,303.5,0.1545040344134192,470.15,0.239341257922468,623.6,0.31745870135159215,920.15,0.46842466973808133,1311.0,0.6673963397561534,1201.25,0.6115254409855678,161.0,0.08196095400514165
NECT01,5,fresh,4,2026-07-23T19:34:18.763000,2026-07-23T19:34:29.482000,20,21.6,60.0,1618.0,1558.0,54.95,0.03526957637997433,137.3,0.0881258023106547,225.55,0.1447689345314506,337.15,0.21639922978177148,451.35,0.28969833119383825,708.55,0.4547817715019255,1025.55,0.6582477535301668,888.25,0.5701219512195121,126.0,0.08087291399229782
